test accuracy 0.201031,train accuracy 0.204073
test accuracy 0.276632,train accuracy 0.239956
test accuracy 0.285223,train accuracy 0.261014
test accuracy 0.335052,train accuracy 0.30604
test accuracy 0.376289,train accuracy 0.356747
test accuracy 0.457045,train accuracy 0.444306
test accuracy 0.438144,train accuracy 0.446661
test accuracy 0.390034,train accuracy 0.41729
test accuracy 0.445017,train accuracy 0.4734
test accuracy 0.573883,train accuracy 0.569687
test accuracy 0.627148,train accuracy 0.619562
test accuracy 0.630584,train accuracy 0.623026
test accuracy 0.628866,train accuracy 0.632724
test accuracy 0.661512,train accuracy 0.663619
test accuracy 0.689003,train accuracy 0.6977
test accuracy 0.702749,train accuracy 0.70435
test accuracy 0.704467,train accuracy 0.708922
test accuracy 0.730241,train accuracy 0.728318
test accuracy 0.750859,train accuracy 0.752563
test accuracy 0.761168,train accuracy 0.760044
test accuracy 0.771478,train accuracy 0.769188
test accuracy 0.783505,train accuracy 0.780133
test accuracy 0.790378,train accuracy 0.793987
test accuracy 0.800687,train accuracy 0.804655
test accuracy 0.812715,train accuracy 0.814907
test accuracy 0.82646,train accuracy 0.821419
test accuracy 0.831615,train accuracy 0.828761
test accuracy 0.835052,train accuracy 0.834442
test accuracy 0.840206,train accuracy 0.843031
test accuracy 0.841924,train accuracy 0.850928
test accuracy 0.845361,train accuracy 0.857994
test accuracy 0.853952,train accuracy 0.862289
test accuracy 0.865979,train accuracy 0.867276
test accuracy 0.869416,train accuracy 0.874203
test accuracy 0.867698,train accuracy 0.879884
test accuracy 0.871134,train accuracy 0.885564
test accuracy 0.871134,train accuracy 0.890552
test accuracy 0.872852,train accuracy 0.894292
test accuracy 0.876289,train accuracy 0.898448
test accuracy 0.878007,train accuracy 0.903297
test accuracy 0.883162,train accuracy 0.908285
test accuracy 0.888316,train accuracy 0.911471
test accuracy 0.88488,train accuracy 0.914935
test accuracy 0.891753,train accuracy 0.918121
test accuracy 0.896907,train accuracy 0.921724
test accuracy 0.896907,train accuracy 0.924356
test accuracy 0.902062,train accuracy 0.928374
test accuracy 0.907217,train accuracy 0.929066
test accuracy 0.910653,train accuracy 0.93156
test accuracy 0.912371,train accuracy 0.935162
test accuracy 0.915808,train accuracy 0.937795
test accuracy 0.915808,train accuracy 0.940704
test accuracy 0.915808,train accuracy 0.943752
test accuracy 0.919244,train accuracy 0.946523
test accuracy 0.924399,train accuracy 0.949709
test accuracy 0.927835,train accuracy 0.951372
test accuracy 0.926117,train accuracy 0.95248
test accuracy 0.927835,train accuracy 0.954558
test accuracy 0.931271,train accuracy 0.957191
test accuracy 0.931271,train accuracy 0.958714
test accuracy 0.93299,train accuracy 0.960377
test accuracy 0.936426,train accuracy 0.96204
test accuracy 0.93299,train accuracy 0.961901
test accuracy 0.936426,train accuracy 0.963841
test accuracy 0.938144,train accuracy 0.966611
test accuracy 0.939862,train accuracy 0.967858
test accuracy 0.941581,train accuracy 0.968967
test accuracy 0.943299,train accuracy 0.969244
test accuracy 0.939863,train accuracy 0.970075
test accuracy 0.943299,train accuracy 0.971738
test accuracy 0.943299,train accuracy 0.973123
test accuracy 0.943299,train accuracy 0.974093
